scenario,baseline,iteration,flow_magnitude_mean,flow_magnitude_std,jacobian_conditioning_mean,jacobian_conditioning_std
sigmaV2_10_sigmaW2_1,DPFNet-HMC,9,10.307681274414062,0.8180563545358309,1.0000006198883056,1.581489939859104e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,10,9.125690460205078,0.23876032418968404,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,12.523249435424805,0.5768026217424077,1.000000548362732,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,12,9.721339797973632,0.954851839517142,1.0000004529953004,1.3902072655785801e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,13,10.137696075439454,0.716435213444776,1.0000004291534423,1.215700987241932e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,14,12.902006721496582,0.8794478417395493,1.0000004529953004,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,15,10.80236988067627,0.4568769336284993,1.0000004529953004,1.1680077279964343e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,16,10.288840579986573,1.7976318316570918,1.000000524520874,9.5367431640625e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,17,11.169165992736817,1.1473229727286252,1.0000004291534423,1.2157009872419322e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,18,9.190239906311035,0.8079773746331271,1.000000500679016,8.920806376395086e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,19,13.261121368408203,1.4040366743609969,1.0000006198883056,4.7683715820312496e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,20,10.281319999694825,1.3174037556704452,1.000000548362732,5.840038639982172e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,21,8.367539119720458,1.399985933795627,1.000000524520874,2.45466950916934e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,13.306754684448242,1.6159141861534114,1.0000004291534423,1.430511474609375e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,23,11.983033180236816,0.6520701800442203,1.0000004768371582,1.3058723390225555e-07
sigmaV2_10_sigmaW2_1,DPFNet-HMC,24,11.666656875610352,2.201471554252361,1.0000004768371582,7.539457464619587e-08
sigmaV2_10_sigmaW2_1,DPFNet-HMC,25,9.123678588867188,0.5990700363481111,1.000000524520874,1.215700987241932e-07
