scenario,baseline,seed,rmse,rmse_percent,coverage,coverage_percent,mean_ess,final_ess,runtime_sec,peak_memory_mb
sigmaV2_10_sigmaW2_1,DPF-GradNet,11,24.687822341918945,24.687822341918945,0.7239999771118164,72.39999389648438,200.00001525878906,200.00001525878906,0.369002103805542,0.0
sigmaV2_10_sigmaW2_1,DPF-GradNet,22,26.27235984802246,26.27235984802246,0.6990000009536743,69.9000015258789,200.00001525878906,200.00001525878906,0.3695657253265381,0.0
sigmaV2_10_sigmaW2_1,DPF-GradNet,33,24.014835357666016,24.014835357666016,0.7269999980926514,72.69999694824219,200.00001525878906,200.00001525878906,0.3911867141723633,0.0
sigmaV2_10_sigmaW2_1,DPF-GradNet,44,24.999780654907227,24.999780654907227,0.7250000238418579,72.5,200.00001525878906,200.00001525878906,0.40440797805786133,0.0
sigmaV2_10_sigmaW2_1,DPF-GradNet,55,24.953065872192383,24.953065872192383,0.734000027179718,73.4000015258789,200.00001525878906,200.00001525878906,0.37635159492492676,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,11,25.516061782836914,25.516061782836914,0.7310000061988831,73.0999984741211,200.00001525878906,200.00001525878906,2.890070676803589,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,22,24.98142433166504,24.98142433166504,0.7250000238418579,72.5,200.00001525878906,200.00001525878906,2.8003652095794678,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,33,25.544395446777344,25.544395446777344,0.7080000042915344,70.80000305175781,200.00001525878906,200.00001525878906,2.7073161602020264,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,44,25.915437698364258,25.915437698364258,0.7080000042915344,70.80000305175781,200.00001525878906,200.00001525878906,2.8094375133514404,0.0
sigmaV2_10_sigmaW2_1,DPFNet-HMC,55,25.136144638061523,25.136144638061523,0.7200000286102295,72.0,200.00001525878906,200.00001525878906,2.901644468307495,0.0
